,AE,BR,CL,CN,ID,IN,MX,MY,PH,PL,RU,SA,TH,TR,TW,ZA,KR
30/08/2020,6.331277646,20.68694773,15,28.28343471,18,29.99894092,22,22,24,31.26695386,44.77729777,5.212946766,48,28.62674667,25.38754756,20.99551551,
06/09/2020,7.331277646,22.40438627,18,28.28381854,16,30.79759716,22,25,18,37.07990991,44.1630538,5.819420149,44,30.02204889,24.53049745,22.99551551,
13/09/2020,6.997533175,19.81762761,19,29.41847097,16,30.78707289,22,24,22,36.47434281,45.50222316,5.212946766,43,28.7218843,24.16775938,22.18407839,
20/09/2020,6.331277646,21.83141402,16,31.53980895,10,28.7359652,20,19,22,35.36138166,45.01440952,4.819420149,42,29.65875545,24.42588927,21.07142335,
27/09/2020,6.331277646,22.12940085,19,32.9306621,11,29.80794208,22,25,23,35.02233114,45.48982595,8.212946766,48,29.544827,25.8331508,18.90370997,
04/10/2020,7.331277646,22.74561935,22,24.488623,14,28.00928584,24,20,25,37.86718793,45.74289918,6.819420149,47,31.8126134,22.6791272,22.94662834,
11/10/2020,6.997533175,25.55647953,22,20.72541634,15,30.64188071,22,13,25,32.9017319,41.25140757,5.819420149,46,32.46658849,21.45126688,22.91320336,
18/10/2020,6.997533175,21.14146436,20,28.40262257,17,32.26130081,25,7,29,31.38052287,41.26682673,5.819420149,40,33.81453401,23.36113236,20.9895467,
25/10/2020,6.331277646,23.6214163,25,27.74445779,21,32.43001268,24,4,29,25.79944226,42.22351738,5.425893531,32,31.83204718,23.72648248,19.94029956,
01/11/2020,6.997533175,26.0807383,24,28.39706524,20,30.54090377,26,4,29,26.34073077,38.02733349,7.425893531,44,26.76911734,21.31377708,21.65194751,
08/11/2020,7.997533175,22.57728246,24,28.25511183,25,33.30692812,21,6,25,24.49785738,32.24908907,6.819420149,41,31.49030259,22.20710875,25.10623736,
15/11/2020,7.331277646,25.43785668,24,28.26188964,23,31.3201029,26,6,26,19.42829017,38.44527912,6.212946766,37,28.53552407,23.98209647,23.60443731,
22/11/2020,6.331277646,23.09473776,24,29.03465477,23,26.64718173,24,9,33,23.29958008,40.05981159,6.606473383,32,25.69252361,22.45126688,24.13471052,
29/11/2020,7.331277646,25.44334654,26,30.29352852,27,28.78424302,26,10,34,25.86656952,42.90722585,7.819420149,41,23.57410413,22.52716374,25.28035504,
06/12/2020,5.998766588,26.12462242,28,29.09234244,26,29.10054046,27,19,53,30.68012021,42.48636798,9.819420149,42,23.85757352,24.80182742,25.16188881,
13/12/2020,7.997533175,26.90187661,23,27.24936725,28,30.32275341,26,23,70,31.3968721,47.1392434,7.212946766,31,25.79211505,25.48438449,23.33419403,
20/12/2020,6.997533175,28.70994234,32,28.31040105,25,31.67433324,28,27,81,32.71806882,49.29160832,6.212946766,44,27.69581964,26.12756226,21.43894708,
27/12/2020,7.663788704,20.30551797,26,26.61494572,21,31.17614916,16,23,60,24.96186909,57.06935018,6.212946766,27,27.30589924,25.23454651,15.94387441,
03/01/2021,8.330044234,11.50426446,22,23.92630114,13,29.81687491,11,25,41,17.9280685,34.73866,10.78705323,8,24.2720939,21.70426883,11.3687762,
